candidate_id,linked_notice_id,linked_notice_type,link_confidence,link_reason
RC-CONT_AWD_0001_9700_F3460102D0029_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0001_9700_FA850514D0007_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0001_9700_H9222209D0048_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0001_9700_H9222211D0007_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0001_9700_H9222211D0021_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0001_9700_H9222211D0024_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0001_9700_H9224015D0018_9700,,,No Match,"Only match(es) posted outside the recency window around this award's expiration or before this award's own start (an origin notice, not a successor)"
RC-CONT_AWD_0001_9700_HC102813D0013_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0001_9700_HC102815D0003_9700,,,No Match,Only match(es) posted outside the recency window around this award's expiration
RC-CONT_AWD_0001_9700_HC102817D0001_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0001_9700_N0017307D2003_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0001_9700_N0018913DZ009_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0001_9700_N0018917AQ002_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0001_9700_S5121A14A0003_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0001_9700_W15P7T12DE002_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0001_9700_W15QKN18D0091_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0001_9700_W31P4Q10A0017_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0001_9700_W31P4Q15A0032_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0001_9700_W56JSR17D0004_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0001_9700_W56KGY17D0019_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0001_9700_W91CRB17D0004_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_F3460102D0029_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_FA460014D0001_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_HC102813D0009_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_HQ042507A0003_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_M6785415D7806_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_M6785415D7900_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_N0003914D0001_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_N0018913DZ009_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_N0018916DZ003_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_N6523610D3823_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_N6523612D3845_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_SP470917D0004_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_W15QKN13D0029_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_W52P1J16A0009_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_W81XWH12D0022_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_W900KK18D0020_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_W911QX16D0020_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_W911W410D0020_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_W9124915D0006_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_W9127816D0049_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0002_9700_W912DY14D0050_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0003_9700_FA862015G4054_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0003_9700_FA877112D1005_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0003_9700_H9224015D0018_9700,,,No Match,Only match(es) posted outside the recency window around this award's expiration
RC-CONT_AWD_0003_9700_HC104713D4001_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0003_9700_HQ014712D0003_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0003_9700_HT001116D0001_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0003_9700_M6785414D4953_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0003_9700_N0016415DJQ34_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0003_9700_N6523613D5823_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0003_9700_N6600108D0078_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0003_9700_N6600115D0038_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0003_9700_S5121A15A0007_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0003_9700_W52P1J15D0015_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0003_9700_W52P1J16D0028_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0003_9700_W5J9CQ12D0002_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0003_9700_W911QY16D0028_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0004_9700_FA852714D0002_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0004_9700_FA862014G3043_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0004_9700_H9222209D0048_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0004_9700_H9224015D0018_9700,945f9340ad4cf62f33ba2c1f84cf9e73,Modification/Amendment/Cancel,Low,loosened title 64 (corroborated); NAICS match; place-of-performance match
RC-CONT_AWD_0004_9700_HC102813D0011_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0004_9700_HC102813D0012_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0004_9700_HC102815D0007_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0004_9700_HC102816D0007_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0004_9700_HQ003414D0026_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0004_9700_HQ014712D0003_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0004_9700_N0017310D2003_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0004_9700_N6523605D6853_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0004_9700_N6523613D4940_9700,,,No Match,Only match(es) posted outside the recency window around this award's expiration
RC-CONT_AWD_0004_9700_SP470917D0015_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0004_9700_W58RGZ15D0003_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0004_9700_W9115115D0009_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0004_9700_W911S011D0057_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0004_9700_W912DY15D0009_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0004_9700_W91RUS16D0001_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0005_9700_FA877112D1008_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0005_9700_FA877112D1011_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0005_9700_H9222211D0007_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0005_9700_H9222211D0017_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0005_9700_H9224015D0016_9700,945f9340ad4cf62f33ba2c1f84cf9e73,Modification/Amendment/Cancel,Low,loosened title 59 (corroborated); NAICS match; place-of-performance match
RC-CONT_AWD_0005_9700_HT001112D0005_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0005_9700_N0018914DZ006_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0005_9700_N6523606D6856_9700,,,No Match,Only match(es) posted outside the recency window around this award's expiration
RC-CONT_AWD_0005_9700_N6600108D0078_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0005_9700_SP470917D0009_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0005_9700_W56JSR18D0004_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0006_9700_H9224015D0018_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0006_9700_N0018913DZ009_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0006_9700_SP470917D0017_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0006_9700_W911QY13D0049_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0006_9700_W911QY16D0028_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0007_9700_N6600111D0057_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0007_9700_S5121A14A0005_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0007_9700_SP470113A0191_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0007_9700_W15P7T06DE404_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0007_9700_W74V8H04D0029_9700,,,No Match,No notice cleared the minimum match threshold
RC-CONT_AWD_0007_9700_W900KK13D0002_9700,,,No Match,No notice cleared the minimum match threshold
