date,date_key,year,quarter,month,month_name,month_short,day_of_month,fiscal_year,fiscal_quarter,fiscal_period_label,is_within_next_12_months,is_past
2002-04-05,20020405,2002,2,4,April,Apr,5,2002,3,FY2002 Q3,False,True
2002-06-19,20020619,2002,2,6,June,Jun,19,2002,3,FY2002 Q3,False,True
2002-07-04,20020704,2002,3,7,July,Jul,4,2002,4,FY2002 Q4,False,True
2002-11-01,20021101,2002,4,11,November,Nov,1,2003,1,FY2003 Q1,False,True
2002-12-31,20021231,2002,4,12,December,Dec,31,2003,1,FY2003 Q1,False,True
2003-01-03,20030103,2003,1,1,January,Jan,3,2003,2,FY2003 Q2,False,True
2003-01-15,20030115,2003,1,1,January,Jan,15,2003,2,FY2003 Q2,False,True
2003-01-30,20030130,2003,1,1,January,Jan,30,2003,2,FY2003 Q2,False,True
2003-03-16,20030316,2003,1,3,March,Mar,16,2003,2,FY2003 Q2,False,True
2003-03-31,20030331,2003,1,3,March,Mar,31,2003,2,FY2003 Q2,False,True
2003-05-06,20030506,2003,2,5,May,May,6,2003,3,FY2003 Q3,False,True
2003-08-01,20030801,2003,3,8,August,Aug,1,2003,4,FY2003 Q4,False,True
2003-09-30,20030930,2003,3,9,September,Sep,30,2003,4,FY2003 Q4,False,True
2003-12-02,20031202,2003,4,12,December,Dec,2,2004,1,FY2004 Q1,False,True
2004-01-31,20040131,2004,1,1,January,Jan,31,2004,2,FY2004 Q2,False,True
2004-07-03,20040703,2004,3,7,July,Jul,3,2004,4,FY2004 Q4,False,True
2004-11-03,20041103,2004,4,11,November,Nov,3,2005,1,FY2005 Q1,False,True
2005-01-29,20050129,2005,1,1,January,Jan,29,2005,2,FY2005 Q2,False,True
2005-03-30,20050330,2005,1,3,March,Mar,30,2005,2,FY2005 Q2,False,True
2005-06-01,20050601,2005,2,6,June,Jun,1,2005,3,FY2005 Q3,False,True
2005-07-31,20050731,2005,3,7,July,Jul,31,2005,4,FY2005 Q4,False,True
2005-11-02,20051102,2005,4,11,November,Nov,2,2006,1,FY2006 Q1,False,True
2006-02-03,20060203,2006,1,2,February,Feb,3,2006,2,FY2006 Q2,False,True
2006-03-17,20060317,2006,1,3,March,Mar,17,2006,2,FY2006 Q2,False,True
2006-05-31,20060531,2006,2,5,May,May,31,2006,3,FY2006 Q3,False,True
2006-07-02,20060702,2006,3,7,July,Jul,2,2006,4,FY2006 Q4,False,True
2006-07-04,20060704,2006,3,7,July,Jul,4,2006,4,FY2006 Q4,False,True
2006-07-30,20060730,2006,3,7,July,Jul,30,2006,4,FY2006 Q4,False,True
2006-09-01,20060901,2006,3,9,September,Sep,1,2006,4,FY2006 Q4,False,True
2006-10-13,20061013,2006,4,10,October,Oct,13,2007,1,FY2007 Q1,False,True
2006-10-16,20061016,2006,4,10,October,Oct,16,2007,1,FY2007 Q1,False,True
2006-10-30,20061030,2006,4,10,October,Oct,30,2007,1,FY2007 Q1,False,True
2006-10-31,20061031,2006,4,10,October,Oct,31,2007,1,FY2007 Q1,False,True
2006-12-12,20061212,2006,4,12,December,Dec,12,2007,1,FY2007 Q1,False,True
2007-01-01,20070101,2007,1,1,January,Jan,1,2007,2,FY2007 Q2,False,True
2007-01-28,20070128,2007,1,1,January,Jan,28,2007,2,FY2007 Q2,False,True
2007-01-30,20070130,2007,1,1,January,Jan,30,2007,2,FY2007 Q2,False,True
2007-03-29,20070329,2007,1,3,March,Mar,29,2007,2,FY2007 Q2,False,True
2007-03-31,20070331,2007,1,3,March,Mar,31,2007,2,FY2007 Q2,False,True
2007-05-14,20070514,2007,2,5,May,May,14,2007,3,FY2007 Q3,False,True
2007-06-03,20070603,2007,2,6,June,Jun,3,2007,3,FY2007 Q3,False,True
2007-06-05,20070605,2007,2,6,June,Jun,5,2007,3,FY2007 Q3,False,True
2007-07-05,20070705,2007,3,7,July,Jul,5,2007,4,FY2007 Q4,False,True
2007-07-08,20070708,2007,3,7,July,Jul,8,2007,4,FY2007 Q4,False,True
2007-07-13,20070713,2007,3,7,July,Jul,13,2007,4,FY2007 Q4,False,True
2007-07-30,20070730,2007,3,7,July,Jul,30,2007,4,FY2007 Q4,False,True
