vendor_key,incumbent_vendor,incumbent_uei,number_of_cyber_it_awards,total_obligated_amount,expiring_value_6_months,expiring_value_12_months,expiring_value_24_months,average_contract_value,recompete_candidate_count,incumbent_concentration_score,incumbent_vulnerability_score,vulnerability_basis,pct_value_expired,pct_value_unknown_expiration,size_standard_shift,size_standard_basis,active_recompete_candidate_count,active_value
1,"LEIDOS, INC",QLNMVC12KWY3,1768,17441255560.13,176951724.33,319817394.72999996,319817394.72999996,9864963.55,1768,7.52,39.6,value_weighted_near_term_share,78.2,0.0,False,"no S->O transition across 743 readable determinations — per-procurement, directional",41,446579632.06
2,RAYTHEON COMPANY,MZK8TCNF24G2,170,9499798839.59,0.0,0.0,15165090.0,55881169.64,170,4.1,0.0,value_weighted_near_term_share,93.5,0.0,False,"no S->O transition across 30 readable determinations — per-procurement, directional",1,15165090.0
3,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC",SMNWM6HN79X5,672,8268592785.780001,123763198.35,156193122.24,158768661.18,12304453.55,672,3.56,69.0,value_weighted_near_term_share,85.3,0.0,False,"no S->O transition across 2072 readable determinations — per-procurement, directional",11,179385262.29
4,LOCKHEED MARTIN CORPORATION,NMHFLDYJJ4C5,248,5880083407.610001,3938133.63,3938133.63,3938133.63,23710013.74,248,2.54,100.0,value_weighted_near_term_share,99.6,0.0,False,"no S->O transition across 138 readable determinations — per-procurement, directional",5,3938133.63
5,NORTHROP GRUMMAN SYSTEMS CORPORATION,DJUCEANK2KP4,401,5859326023.750001,1893592.0,1893592.0,6097997.34,14611785.6,401,2.53,2.0,value_weighted_near_term_share,87.3,0.0,False,"no S->O transition across 335 readable determinations — per-procurement, directional",3,93560615.65
6,BOOZ ALLEN HAMILTON INC,JCBMLGPE6Z71,363,4924441416.09,54831855.43,169292911.33,178947043.54999998,13565954.31,363,2.12,27.4,value_weighted_near_term_share,65.3,0.0,False,"no S->O transition across 1348 readable determinations — per-procurement, directional",14,199979202.54999998
7,PERATON ENTERPRISE SOLUTIONS LLC,MBSRAWAQ9559,473,4862194449.81,0.0,191924882.22,191924882.22,10279480.87,473,2.1,0.0,value_weighted_near_term_share,76.2,0.0,False,"no S->O transition across 883 readable determinations — per-procurement, directional",2,191924882.22
8,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,198,4518027969.39,29241940.310000002,29241940.310000002,29241940.310000002,22818323.08,198,1.95,100.0,value_weighted_near_term_share,95.5,0.0,True,"latest of 98 NAICS 541512 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 95 total), with 3 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",2,29241940.310000002
9,ACCENTURE FEDERAL SERVICES LLC,C47BNA8GM833,248,4257460708.3400006,8518831.76,11985343.92,17328825.05,17167180.28,248,1.84,49.2,value_weighted_near_term_share,94.1,0.0,False,"no S->O transition across 337 readable determinations — per-procurement, directional",6,17328825.05
10,MICROSOFT CORPORATION,FMVPEWNJGLM1,448,3851847424.23,73055855.50999999,73055855.50999999,138754804.87,8597873.71,448,1.66,52.0,value_weighted_near_term_share,73.7,0.0,True,"latest of 101 NAICS 541511 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 100 total), with 1 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",9,140499957.96
11,INTERNATIONAL BUSINESS MACHINES CORPORATION,VV9KH3L99VE3,166,3168632287.03,0.0,0.0,10540707.94,19088146.31,166,1.37,0.0,value_weighted_near_term_share,94.6,0.0,False,"no S->O transition across 197 readable determinations — per-procurement, directional",1,10540707.94
12,PERATON INC,ZBPQEJVECCT4,180,2833044405.95,3689613.62,7685552.3100000005,18117284.72,15739135.59,180,1.22,5.6,value_weighted_near_term_share,87.4,0.0,False,"no S->O transition across 444 readable determinations — per-procurement, directional",4,65410464.72
13,"CACI, INC. - FEDERAL",N3PBJAVNKF61,155,2301772926.01,6326751.67,6939875.08,8377572.53,14850147.91,155,0.99,75.5,value_weighted_near_term_share,96.4,0.0,False,"no S->O transition across 426 readable determinations — per-procurement, directional",3,8377572.53
14,DELL FEDERAL SYSTEMS L.P,N1C5QLNPJLS4,172,1775426813.46,0.0,0.0,0.0,10322248.92,172,0.77,0.0,value_weighted_near_term_share,99.7,0.0,True,"latest of 796 NAICS 541519 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 795 total), with 1 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",1,1182508.8
15,WORLD WIDE TECHNOLOGY LLC,C8VFSNKTMQB6,293,1673724702.9,0.0,491865.0,4849238.13,5712371.0,293,0.72,0.0,value_weighted_near_term_share,99.1,0.0,False,"no S->O transition across 1066 readable determinations — per-procurement, directional",3,8436193.78
16,DELOITTE CONSULTING LLP,CKV2L9GZKJK3,73,1609526796.98,48176640.66,51027479.70999999,51027479.70999999,22048312.29,73,0.69,68.2,value_weighted_near_term_share,59.9,0.0,False,"no S->O transition across 336 readable determinations — per-procurement, directional",3,70592702.38
17,"FCN, INC",JEANDJTZ8HJ3,693,1495285297.56,12453315.7,12772104.7,67352474.05,2157698.84,693,0.64,17.7,value_weighted_near_term_share,74.2,0.0,True,"latest of 16 NAICS 541512 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 1 total), with 15 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",10,70415036.89
18,"AMENTUM TECHNOLOGY, INC",H2RGSKWXKHQ5,107,1491671796.1599998,0.0,0.0,0.0,13940857.91,107,0.64,,no_forward_book,100.0,0.0,True,"latest of 101 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 100 total), with 1 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
19,"JOHNSON CONTROLS BUILDING AUTOMATION SYSTEMS, LLC",LFD2YFMZJ1J3,215,1309162513.88,3430588.0,9095505.0,34841377.67,6089127.97,215,0.56,7.3,value_weighted_near_term_share,57.3,0.0,False,"no S->O transition across 232 readable determinations — per-procurement, directional",7,46768997.31
20,"CACI NSS, LLC",EELEC8QCC3N8,74,1265892946.15,0.0,0.0,0.0,17106661.43,74,0.55,0.0,value_weighted_near_term_share,76.3,0.0,False,"no S->O transition across 39 readable determinations — per-procurement, directional",1,12686744.44
21,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC",JY2BDT2K58Z6,39,1254317128.04,9995048.69,15321228.35,29413064.349999998,32161977.64,39,0.54,34.0,value_weighted_near_term_share,88.6,0.0,False,"no S->O transition across 621 readable determinations — per-procurement, directional",3,29413064.35
22,PALANTIR USG INC,HNN4F9JZWDY8,34,1224471383.79,9970750.0,11055750.0,11055750.0,36013864.23,34,0.53,90.2,value_weighted_near_term_share,72.4,0.0,False,"no S->O transition across 37 readable determinations — per-procurement, directional",2,11055750.0
23,"DLT SOLUTIONS, LLC",F1N2KDGBDTU8,413,1187195365.8400002,792609.24,1750469.57,205619392.87,2874565.05,413,0.51,0.4,value_weighted_near_term_share,45.0,0.0,True,"latest of 11 NAICS 541511 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 6 total), with 5 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",6,205619392.87
24,"CACI ENTERPRISE SOLUTIONS, LLC",DCGLMVAM4VG5,115,1104061210.1599998,0.0,0.0,0.0,9600532.26,115,0.48,,no_forward_book,100.0,0.0,False,"no S->O transition across 76 readable determinations — per-procurement, directional",0,0.0
25,"GENERAL DYNAMICS MISSION SYSTEMS, INC",MWDRZJ2ZVPV7,57,1093515781.32,0.0,19807453.0,19807453.0,19184487.39,57,0.47,0.0,value_weighted_near_term_share,92.1,0.0,False,"no S->O transition across 148 readable determinations — per-procurement, directional",1,19807453.0
26,"IRON BOW TECHNOLOGIES, LLC",Q2M4FYALZJ89,105,1084287637.44,0.0,0.0,0.0,10326548.93,105,0.47,0.0,value_weighted_near_term_share,88.5,0.0,False,"no S->O transition across 372 readable determinations — per-procurement, directional",1,500000.0
28,SERCO INC,DKJ1R5ABCN48,61,1080577070.15,0.0,0.0,0.0,17714378.2,61,0.47,,no_forward_book,100.0,0.0,False,"no S->O transition across 934 readable determinations — per-procurement, directional",0,0.0
29,"EMERGENT, LLC",NUNVJJM2UYY1,189,1041475035.36,0.0,3356782.22,3356782.22,5510449.92,189,0.45,0.0,value_weighted_near_term_share,97.9,0.0,False,"no S->O transition across 530 readable determinations — per-procurement, directional",1,3356782.22
30,"AGILE DEFENSE, LLC",KRGLGTXRYL94,39,998434553.0499998,0.0,44000410.66,44000410.66,25600885.98,39,0.43,0.0,value_weighted_near_term_share,37.2,0.0,True,"latest of 24 NAICS 541512 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 7 total), with 17 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",1,44000410.66
31,"NEW TECH SOLUTIONS, INC",XK11LLUL61A7,856,939943539.2,12564056.89,14440052.809999999,16156778.73,1098064.88,856,0.41,56.0,value_weighted_near_term_share,85.1,0.0,True,"latest of 4 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 1 total), with 3 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",18,22450958.509999998
32,VECTRUS SYSTEMS LLC,RRFJZGASZJ41,39,886938994.3,0.0,0.0,7371179.0,22742025.49,39,0.38,0.0,value_weighted_near_term_share,14.5,0.0,True,"latest of 29 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 17 total), with 12 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",1,7371179.0
33,"ECS FEDERAL, LLC",XYB4JU4PA6T4,23,869243637.0699999,0.0,0.0,0.0,37793201.61,23,0.37,,no_forward_book,100.0,0.0,True,"latest of 47 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 46 total), with 1 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
34,"AMAZON WEB SERVICES, INC",NQEWN6C1LSU5,97,857282271.3900001,15936664.67,18610328.51,19240026.25,8837961.56,97,0.37,50.0,value_weighted_near_term_share,82.1,0.0,False,"no S->O transition across 141 readable determinations — per-procurement, directional",10,31866522.990000002
35,CGI FEDERAL INC,TRKEP1HEBNS5,48,857068206.77,0.0,0.0,0.0,17855587.64,48,0.37,0.0,value_weighted_near_term_share,93.7,0.0,True,"latest of 68 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 66 total), with 2 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",1,9220202.24
36,"THUNDERCAT TECHNOLOGY, LLC",UER4AJLUB8D5,382,831995260.2,2222710.63,2222710.63,3747966.8599999994,2177998.06,382,0.36,59.3,value_weighted_near_term_share,94.2,0.0,False,"no S->O transition across 1098 readable determinations — per-procurement, directional",5,3747966.86
38,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC,LX3BSV6NNW58,60,796985997.9200002,8886299.44,15919979.03,15919979.03,13283099.97,60,0.34,55.8,value_weighted_near_term_share,83.0,0.0,False,"no S->O transition across 537 readable determinations — per-procurement, directional",2,15919979.03
39,"ADVANTAGED SOLUTIONS, LLC",WD8KKTRJWAZ3,35,795341608.9500002,445744154.93,445744154.93,445744154.93,22724045.97,35,0.34,100.0,value_weighted_near_term_share,2.9,0.0,True,"latest of 34 NAICS 541519 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 1 total), with 33 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",1,445744154.93
40,"ADVANCED COMPUTER CONCEPTS, INC",CGE8ABMZLZN9,556,788284706.89,6222659.46,6222659.46,8362760.59,1417778.25,556,0.34,19.9,value_weighted_near_term_share,62.0,0.0,False,"no S->O transition across 2576 readable determinations — per-procurement, directional",13,31251109.79
41,"COUNTERTRADE PRODUCTS, INC",CN4KSKX2UQY5,175,780946643.92,2264672.6,5070105.4399999995,5070105.4399999995,4462552.25,175,0.34,44.7,value_weighted_near_term_share,93.2,0.0,False,"no S->O transition across 831 readable determinations — per-procurement, directional",2,5070105.4399999995
42,TEKSYNAP CORPORATION,C2T2JWN1D2K4,108,724470018.9699999,0.0,3066318.5799999996,24752110.34,6708055.73,108,0.31,0.0,value_weighted_near_term_share,72.0,0.0,True,"latest of 3 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 1 total), with 2 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",6,28367440.42
