award_id,piid,referenced_idv_piid,award_type,awardee_name_raw,awardee_name_clean,awardee_uei,awarding_agency_raw,awarding_agency_clean,awarding_subagency_raw,awarding_subagency_clean,funding_agency_clean,date_signed,total_obligated_amount,potential_value,pop_start_date,pop_current_end_date,pop_potential_end_date,naics,psc,extent_competed,extent_competed_code,type_of_contract_pricing,type_of_contract_pricing_code,type_of_set_aside,type_of_set_aside_code,number_of_offers_received,base_and_all_options_value,place_of_performance_state,missing_end_date_flag,missing_vendor_flag,missing_agency_flag,data_quality_notes,source_system,business_size_determination_code,cyber_it_flag,cyber_flag,it_services_flag,cloud_flag,data_analytics_flag,software_dev_flag,network_ops_flag,help_desk_flag,compliance_security_flag,classification_confidence
CONT_AWD_HC105023F0004_9700_HQ003423D0020_9700,HC105023F0004,HQ003423D0020,DELIVERY ORDER,MICROSOFT CORPORATION,MICROSOFT CORPORATION,FMVPEWNJGLM1,Department of Defense,DEPARTMENT OF DEFENSE,Defense Information Systems Agency,DEFENSE INFORMATION SYSTEMS AGENCY,DEPARTMENT OF DEFENSE,2026-03-06,54977630.07,70768700.76,2022-12-08,2026-12-07,2027-12-07,518210,DB10,NOT AVAILABLE FOR COMPETITION,B,FIRM FIXED PRICE,J,,,,0.0,WA,False,False,False,,USAspending,O,True,False,False,True,False,False,False,False,False,Low
CONT_AWD_W52P1J21C0018_9700_-NONE-_-NONE-,W52P1J21C0018,,DEFINITIVE CONTRACT,"4M RESEARCH, INC","4M RESEARCH, INC",H8GHNMBMKML5,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Army,DEPARTMENT OF THE ARMY,DEPARTMENT OF DEFENSE,2026-03-06,10384831.74,10409356.42,2021-01-27,2026-05-26,2026-05-26,541519,R408,NOT COMPETED,C,FIRM FIXED PRICE,J,NO SET ASIDE USED.,NONE,1.0,0.0,AL,False,False,False,,USAspending,S,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_N0042124F0066_9700_N0042121D0025_9700,N0042124F0066,N0042121D0025,DELIVERY ORDER,"PRECISE SYSTEMS, INC.","PRECISE SYSTEMS, INC",E4ZQM4DEJZB5,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Navy,DEPARTMENT OF THE NAVY,DEPARTMENT OF DEFENSE,2026-03-06,13219590.42,24724384.2,2024-01-10,2027-01-09,2029-01-09,541511,DA01,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,D,COST PLUS FIXED FEE,U,,,,-189899.32,MD,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Medium
CONT_AWD_FA701426C0002_9700_-NONE-_-NONE-,FA701426C0002,,DEFINITIVE CONTRACT,RAFT LLC,RAFT LLC,M9ALV9LKVDC3,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Air Force,DEPARTMENT OF THE AIR FORCE,DEPARTMENT OF DEFENSE,2026-03-06,6304048.17,8762263.13,2026-02-01,2027-01-31,2027-01-31,541511,DA01,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,NO SET ASIDE USED.,NONE,1.0,0.0,VA,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Medium
CONT_AWD_HC105025F0061_9700_HC105023D0004_9700,HC105025F0061,HC105023D0004,DELIVERY ORDER,"ORACLE AMERICA, INC","ORACLE AMERICA, INC",FKUCYGRK1EQ3,Department of Defense,DEPARTMENT OF DEFENSE,Defense Information Systems Agency,DEFENSE INFORMATION SYSTEMS AGENCY,DEPARTMENT OF DEFENSE,2026-03-06,295771.81,1715314.52,2025-09-24,2026-09-24,2028-09-24,518210,DB10,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,D,FIRM FIXED PRICE,J,,,1.0,0.0,MS,False,False,False,,USAspending,O,True,False,False,True,False,False,False,False,False,Low
CONT_AWD_FA703726F0018_9700_FA703725D0001_9700,FA703726F0018,FA703725D0001,DELIVERY ORDER,"LEIDOS, INC.","LEIDOS, INC",QLNMVC12KWY3,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Air Force,DEPARTMENT OF THE AIR FORCE,DEPARTMENT OF DEFENSE,2026-03-06,3820711.03,5031644.89,2026-03-17,2027-03-16,2027-03-16,541513,R423,COMPETED UNDER SAP,F,FIRM FIXED PRICE,J,,,,5031644.89,TX,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_W91RUS25F0012_9700_W91RUS23D0027_9700,W91RUS25F0012,W91RUS23D0027,DELIVERY ORDER,LEADER COMMUNICATIONS INC.,LEADER COMMUNICATIONS INC,PCLCZKAKLLJ9,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Army,DEPARTMENT OF THE ARMY,DEPARTMENT OF DEFENSE,2026-03-06,10149484.49,36973565.33,2024-11-15,2027-02-28,2030-02-28,541513,DG01,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,D,FIRM FIXED PRICE,J,SERVICE DISABLED VETERAN OWNED SMALL BUSINESS SET-ASIDE,SDVOSBC,6.0,-3350294.76,GA,False,False,False,,USAspending,S,True,False,True,False,False,False,False,False,False,Medium
CONT_AWD_SP470924F0090_9700_SP470917D0006_9700,SP470924F0090,SP470917D0006,DELIVERY ORDER,STELLAR INNOVATIONS & SOLUTIONS INC.,STELLAR INNOVATIONS & SOLUTIONS INC,F3H1A4S2W2J1,Department of Defense,DEPARTMENT OF DEFENSE,Defense Logistics Agency,DEFENSE LOGISTICS AGENCY,DEPARTMENT OF DEFENSE,2026-03-05,812282.82,1639032.42,2024-09-03,2026-03-05,2026-03-05,541519,DF01,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,1.0,-28450.78,VA,False,False,False,,USAspending,S,True,False,False,False,False,False,False,False,False,Medium
CONT_AWD_HC104722F0001_9700_HC104718D2005_9700,HC104722F0001,HC104718D2005,DELIVERY ORDER,DELOITTE CONSULTING LLP,DELOITTE CONSULTING LLP,CKV2L9GZKJK3,Department of Defense,DEPARTMENT OF DEFENSE,Defense Information Systems Agency,DEFENSE INFORMATION SYSTEMS AGENCY,DEPARTMENT OF DEFENSE,2026-03-05,48176640.66,49850711.86,2021-12-21,2026-12-20,2026-12-20,541512,R799,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,2.0,0.0,MD,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Low
CONT_AWD_N6883625F7KP2_9700_N0003920D0054_9700,N6883625F7KP2,N0003920D0054,DELIVERY ORDER,"LEIDOS, INC.","LEIDOS, INC",UE9QJD4KK1L6,Department of Defense,DEPARTMENT OF DEFENSE,Department of the Navy,DEPARTMENT OF THE NAVY,DEPARTMENT OF DEFENSE,2026-03-05,277334.51,277334.51,2025-10-01,2026-09-30,2026-09-30,541512,DA01,FULL AND OPEN COMPETITION,A,FIRM FIXED PRICE,J,,,,3500.82,VA,False,False,False,,USAspending,O,True,False,False,False,False,False,False,False,False,Medium
