transaction_id,award_id,modification_number,action_date,action_type_code,action_obligation
CONT_AWD_0001_9700_FA850514D0007_9700:1A,CONT_AWD_0001_9700_FA850514D0007_9700,1A,2019-08-19,C,-187568.31
CONT_AWD_0001_9700_H9222209D0048_9700:1A,CONT_AWD_0001_9700_H9222209D0048_9700,1A,2023-08-07,K,0.0
CONT_AWD_0001_9700_H9222211D0021_9700:1A,CONT_AWD_0001_9700_H9222211D0021_9700,1A,2020-08-03,C,-130897.63
CONT_AWD_0001_9700_H9222211D0024_9700:1A,CONT_AWD_0001_9700_H9222211D0024_9700,1A,2019-02-08,K,-9281.67
CONT_AWD_0001_9700_HC102817D0001_9700:10,CONT_AWD_0001_9700_HC102817D0001_9700,10,2018-11-06,C,998967.6
CONT_AWD_0001_9700_HC102817D0001_9700:27,CONT_AWD_0001_9700_HC102817D0001_9700,27,2021-03-15,B,-165437.08
CONT_AWD_0001_9700_HC102817D0001_9700:29,CONT_AWD_0001_9700_HC102817D0001_9700,29,2021-09-03,M,0.0
CONT_AWD_0001_9700_HC102817D0001_9700:30,CONT_AWD_0001_9700_HC102817D0001_9700,30,2022-03-17,C,-37688.4
CONT_AWD_0001_9700_W15P7T12DE002_9700:1A,CONT_AWD_0001_9700_W15P7T12DE002_9700,1A,2019-06-27,K,-139142.76
CONT_AWD_0001_9700_W15P7T12DE002_9700:1B,CONT_AWD_0001_9700_W15P7T12DE002_9700,1B,2020-07-14,M,-176562.91
CONT_AWD_0001_9700_W31P4Q10A0017_9700:BL,CONT_AWD_0001_9700_W31P4Q10A0017_9700,BL,2019-09-30,C,-287332.74
CONT_AWD_0001_9700_W31P4Q15A0032_9700:73,CONT_AWD_0001_9700_W31P4Q15A0032_9700,73,2018-10-03,M,0.0
CONT_AWD_0001_9700_W31P4Q15A0032_9700:81,CONT_AWD_0001_9700_W31P4Q15A0032_9700,81,2019-03-12,C,-155394.03
CONT_AWD_0001_9700_W31P4Q15A0032_9700:98,CONT_AWD_0001_9700_W31P4Q15A0032_9700,98,2019-06-24,B,-241160.45
CONT_AWD_0001_9700_W31P4Q15A0032_9700:B7,CONT_AWD_0001_9700_W31P4Q15A0032_9700,B7,2020-01-09,M,-365030.44
