candidate_id,linked_notice_id,linked_notice_type,link_confidence,link_reason
RC-SAMPLE-001,,,No Match,No SAM.gov opportunity notices available
RC-SAMPLE-002,,,No Match,No SAM.gov opportunity notices available
RC-SAMPLE-003,,,No Match,No SAM.gov opportunity notices available
RC-SAMPLE-004,,,No Match,No SAM.gov opportunity notices available
RC-SAMPLE-005,,,No Match,No SAM.gov opportunity notices available
RC-SAMPLE-006,,,No Match,No SAM.gov opportunity notices available
RC-SAMPLE-007,,,No Match,No SAM.gov opportunity notices available
RC-SAMPLE-008,,,No Match,No SAM.gov opportunity notices available
RC-SAMPLE-009,,,No Match,No SAM.gov opportunity notices available
RC-SAMPLE-010,,,No Match,No SAM.gov opportunity notices available
RC-SAMPLE-011,,,No Match,No SAM.gov opportunity notices available
RC-SAMPLE-012,,,No Match,No SAM.gov opportunity notices available
RC-SAMPLE-013,,,No Match,No SAM.gov opportunity notices available
RC-SAMPLE-014,,,No Match,No SAM.gov opportunity notices available
