date,date_key,year,quarter,month,month_name,month_short,day_of_month,fiscal_year,fiscal_quarter,fiscal_period_label,is_within_next_12_months,is_past
2023-01-15,20230115,2023,1,1,January,Jan,15,2023,2,FY2023 Q2,False,True
2023-01-16,20230116,2023,1,1,January,Jan,16,2023,2,FY2023 Q2,False,True
2023-01-17,20230117,2023,1,1,January,Jan,17,2023,2,FY2023 Q2,False,True
2023-01-18,20230118,2023,1,1,January,Jan,18,2023,2,FY2023 Q2,False,True
2023-01-19,20230119,2023,1,1,January,Jan,19,2023,2,FY2023 Q2,False,True
2023-01-20,20230120,2023,1,1,January,Jan,20,2023,2,FY2023 Q2,False,True
2023-01-21,20230121,2023,1,1,January,Jan,21,2023,2,FY2023 Q2,False,True
2023-01-22,20230122,2023,1,1,January,Jan,22,2023,2,FY2023 Q2,False,True
2023-01-23,20230123,2023,1,1,January,Jan,23,2023,2,FY2023 Q2,False,True
2023-01-24,20230124,2023,1,1,January,Jan,24,2023,2,FY2023 Q2,False,True
2023-01-25,20230125,2023,1,1,January,Jan,25,2023,2,FY2023 Q2,False,True
2023-01-26,20230126,2023,1,1,January,Jan,26,2023,2,FY2023 Q2,False,True
2023-01-27,20230127,2023,1,1,January,Jan,27,2023,2,FY2023 Q2,False,True
2023-01-28,20230128,2023,1,1,January,Jan,28,2023,2,FY2023 Q2,False,True
2023-01-29,20230129,2023,1,1,January,Jan,29,2023,2,FY2023 Q2,False,True
2023-01-30,20230130,2023,1,1,January,Jan,30,2023,2,FY2023 Q2,False,True
2023-01-31,20230131,2023,1,1,January,Jan,31,2023,2,FY2023 Q2,False,True
2023-02-01,20230201,2023,1,2,February,Feb,1,2023,2,FY2023 Q2,False,True
2023-02-02,20230202,2023,1,2,February,Feb,2,2023,2,FY2023 Q2,False,True
2023-02-03,20230203,2023,1,2,February,Feb,3,2023,2,FY2023 Q2,False,True
2023-02-04,20230204,2023,1,2,February,Feb,4,2023,2,FY2023 Q2,False,True
2023-02-05,20230205,2023,1,2,February,Feb,5,2023,2,FY2023 Q2,False,True
2023-02-06,20230206,2023,1,2,February,Feb,6,2023,2,FY2023 Q2,False,True
2023-02-07,20230207,2023,1,2,February,Feb,7,2023,2,FY2023 Q2,False,True
2023-02-08,20230208,2023,1,2,February,Feb,8,2023,2,FY2023 Q2,False,True
2023-02-09,20230209,2023,1,2,February,Feb,9,2023,2,FY2023 Q2,False,True
2023-02-10,20230210,2023,1,2,February,Feb,10,2023,2,FY2023 Q2,False,True
2023-02-11,20230211,2023,1,2,February,Feb,11,2023,2,FY2023 Q2,False,True
2023-02-12,20230212,2023,1,2,February,Feb,12,2023,2,FY2023 Q2,False,True
2023-02-13,20230213,2023,1,2,February,Feb,13,2023,2,FY2023 Q2,False,True
2023-02-14,20230214,2023,1,2,February,Feb,14,2023,2,FY2023 Q2,False,True
2023-02-15,20230215,2023,1,2,February,Feb,15,2023,2,FY2023 Q2,False,True
2023-02-16,20230216,2023,1,2,February,Feb,16,2023,2,FY2023 Q2,False,True
2023-02-17,20230217,2023,1,2,February,Feb,17,2023,2,FY2023 Q2,False,True
2023-02-18,20230218,2023,1,2,February,Feb,18,2023,2,FY2023 Q2,False,True
2023-02-19,20230219,2023,1,2,February,Feb,19,2023,2,FY2023 Q2,False,True
2023-02-20,20230220,2023,1,2,February,Feb,20,2023,2,FY2023 Q2,False,True
2023-02-21,20230221,2023,1,2,February,Feb,21,2023,2,FY2023 Q2,False,True
2023-02-22,20230222,2023,1,2,February,Feb,22,2023,2,FY2023 Q2,False,True
2023-02-23,20230223,2023,1,2,February,Feb,23,2023,2,FY2023 Q2,False,True
2023-02-24,20230224,2023,1,2,February,Feb,24,2023,2,FY2023 Q2,False,True
2023-02-25,20230225,2023,1,2,February,Feb,25,2023,2,FY2023 Q2,False,True
2023-02-26,20230226,2023,1,2,February,Feb,26,2023,2,FY2023 Q2,False,True
2023-02-27,20230227,2023,1,2,February,Feb,27,2023,2,FY2023 Q2,False,True
2023-02-28,20230228,2023,1,2,February,Feb,28,2023,2,FY2023 Q2,False,True
2023-03-01,20230301,2023,1,3,March,Mar,1,2023,2,FY2023 Q2,False,True
2023-03-02,20230302,2023,1,3,March,Mar,2,2023,2,FY2023 Q2,False,True
2023-03-03,20230303,2023,1,3,March,Mar,3,2023,2,FY2023 Q2,False,True
2023-03-04,20230304,2023,1,3,March,Mar,4,2023,2,FY2023 Q2,False,True
2023-03-05,20230305,2023,1,3,March,Mar,5,2023,2,FY2023 Q2,False,True
2023-03-06,20230306,2023,1,3,March,Mar,6,2023,2,FY2023 Q2,False,True
2023-03-07,20230307,2023,1,3,March,Mar,7,2023,2,FY2023 Q2,False,True
2023-03-08,20230308,2023,1,3,March,Mar,8,2023,2,FY2023 Q2,False,True
2023-03-09,20230309,2023,1,3,March,Mar,9,2023,2,FY2023 Q2,False,True
2023-03-10,20230310,2023,1,3,March,Mar,10,2023,2,FY2023 Q2,False,True
2023-03-11,20230311,2023,1,3,March,Mar,11,2023,2,FY2023 Q2,False,True
2023-03-12,20230312,2023,1,3,March,Mar,12,2023,2,FY2023 Q2,False,True
2023-03-13,20230313,2023,1,3,March,Mar,13,2023,2,FY2023 Q2,False,True
2023-03-14,20230314,2023,1,3,March,Mar,14,2023,2,FY2023 Q2,False,True
2023-03-15,20230315,2023,1,3,March,Mar,15,2023,2,FY2023 Q2,False,True
2023-03-16,20230316,2023,1,3,March,Mar,16,2023,2,FY2023 Q2,False,True
2023-03-17,20230317,2023,1,3,March,Mar,17,2023,2,FY2023 Q2,False,True
2023-03-18,20230318,2023,1,3,March,Mar,18,2023,2,FY2023 Q2,False,True
2023-03-19,20230319,2023,1,3,March,Mar,19,2023,2,FY2023 Q2,False,True
2023-03-20,20230320,2023,1,3,March,Mar,20,2023,2,FY2023 Q2,False,True
2023-03-21,20230321,2023,1,3,March,Mar,21,2023,2,FY2023 Q2,False,True
2023-03-22,20230322,2023,1,3,March,Mar,22,2023,2,FY2023 Q2,False,True
2023-03-23,20230323,2023,1,3,March,Mar,23,2023,2,FY2023 Q2,False,True
2023-03-24,20230324,2023,1,3,March,Mar,24,2023,2,FY2023 Q2,False,True
2023-03-25,20230325,2023,1,3,March,Mar,25,2023,2,FY2023 Q2,False,True
2023-03-26,20230326,2023,1,3,March,Mar,26,2023,2,FY2023 Q2,False,True
2023-03-27,20230327,2023,1,3,March,Mar,27,2023,2,FY2023 Q2,False,True
2023-03-28,20230328,2023,1,3,March,Mar,28,2023,2,FY2023 Q2,False,True
2023-03-29,20230329,2023,1,3,March,Mar,29,2023,2,FY2023 Q2,False,True
